KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days]
1.01,2.853920372281361,0.014495278003069257,-8.336251298477663,2.4706133749337815,7.050933842754327
2.01,2.0091030579087947,0.04856925614465566,1.9050495834887897,2.204735408834714,4.429540651769621
3.01,3.1398647665534694,0.1023457673169972,13.24552903701624,4.8878027953510035,15.347039782984174
5.01,10.890161269824283,0.5476174163300396,-0.5048804741407196,4.780328834824938,52.05855193403478
7.01,12.710474811657148,1.0331665724528296,2.0700128903863515,3.21366735189092,40.84723792925447
10.01,2.041289420975423,0.1610444112002789,1.8162885531558004,3.5224986465066532,7.190439222514277
12.01,67.68829593693148,1.099879578070617,231.44885318784316,17.855222365367403,1208.5895754867065
13.01,4.048439370450305,0.022307283799532236,-0.44608292604266353,1.7635875785173316,7.139777386106684
17.01,3.0975517681911153,0.09789432453837987,5.559397673883552,3.234699175440551,10.019648150452221
18.01,2.023185700412805,0.15758675390912216,0.8168730377307156,3.548465503113749,7.179204664307867
20.01,3.475656432284268,0.11394082978072614,4.458909511131935,4.437963056645504,15.424834844069897
22.01,2.67424057475674,0.18800121425462712,7.841269644638373,7.891448106039634,21.10363071875842
41.01,2.5197962363393263,4.8192083885485,5.53138329445639,12.815866275809812,32.293371607213665
41.02,2.4778117173468237,20.30122433968429,77.82040843618597,6.88707356194738,17.064871570022746
41.03,2.2257345921289913,40.595278767086846,54.3929977078422,35.331441741147444,78.63841207306203
42.01,53.68706293706294,15.350312624568168,1332.6693441297532,17.833625689357472,957.4349847805571
46.01,4.099956926578428,1.5955739976608816,25.442042485634943,3.4876886742633397,14.299373337795114
49.01,6.497944583844963,1.9398922353536039,1.9727003645976424,8.31378595045499,54.022520388005354
63.01,3.9891201885310292,0.3627496112599895,39.52380341852415,9.434152843732274,37.63396957061983
69.01,3.4398764639007493,0.9915552414527558,4.345069339358531,4.7267393944479705,16.259399593954054
70.01,6.4685974182328945,1.2089920214097778,7.254679248908047,10.85409996677224,70.21080302230466
70.02,3.6277334166906225,2.6418475375827892,20.882005150300984,3.6961185334315427,13.408532715779144
70.03,4.711864406779661,6.151134986659186,17.440622264421684,77.61174688253419,365.69602768380514
70.05,3.5941943477491303,43.12553004637091,56.92111009641813,19.577649870309443,70.36587850607769
72.01,17.901688620011356,1.371332374022883,10.021065703955855,0.8374912263340062,14.992507155822834
72.02,11.036075036075035,4.633598611650513,10.885836670505554,45.29424484969789,499.8706848636211
75.01,19.066666666666666,23.460541921739452,420.6618114880159,105.88176837921665,2018.8123837637308
82.01,7.441280606393057,1.3766342277701626,11.497235826196928,16.14568834107689,120.14459752932197
82.02,3.388200297471492,4.364055766431981,15.14955777785346,10.311734863652903,34.938223132475926
82.03,3.0078094796257635,13.61621409889365,16.749683693227695,27.453834309236832,82.57590308739756
82.04,6.917547169811321,21.987550192327724,47.412179287312824,7.0714555786217375,48.91712752434128
84.01,33.54254110159861,5.277384058161255,285.9307502948343,9.286970948286012,311.5086047422358
85.01,28.444854259515395,1.898533864320613,14.288764996069574,5.859937196514876,166.68505952477886
85.02,12.8813427978054,5.930893722948417,51.2724703168376,2.1549093237233743,27.758125697067793
85.03,2.533687451966561,6.781247345601148,20.03449181417062,8.131225959307907,20.601985182203205
